CRIM,ZN,INDUS,CHAS,NOX,RM,AGE,DIS,RAD,TAX,PTRATIO,B,LSTAT
0.02875,28,15.04,0,0.464,6.211,28.9,3.6659,1,270,18.2,396.33,6.21
0.04294,28,15.04,0,0.464,6.249,77.3,3.615,1,270,18.2,396.9,10.59
0.12204,0,2.89,0,0.445,6.625,57.8,3.4952,2,276,18,357.98,6.65
0.11504,0,2.89,0,0.445,6.163,69.6,3.4952,2,276,18,391.83,11.34
0.12083,0,2.89,0,0.445,8.069,76,3.4952,2,276,18,396.9,4.21
0.08187,0,2.89,0,0.445,7.82,36.9,3.4952,2,276,18,393.53,3.57
0.0686,0,2.89,0,0.445,7.416,62.5,3.4952,2,276,18,396.9,6.19
0.14866,0,8.56,0,0.52,6.727,79.9,2.7778,3,384,20.9,394.76,9.42
0.11432,0,8.56,0,0.52,6.781,71.3,2.8561,3,384,20.9,395.58,7.67
0.22876,0,8.56,0,0.52,6.405,85.4,2.7147,3,384,20.9,70.8,10.63
0.21161,0,8.56,0,0.52,6.137,87.4,2.7147,3,384,20.9,394.47,13.44
0.1396,0,8.56,0,0.52,6.167,90,2.421,3,384,20.9,392.69,12.33
0.13262,0,8.56,0,0.52,5.851,96.7,2.1069,3,384,20.9,394.05,16.47
